,cl,map,pid,soA,soB,obs
0,-2.5,1,6150dae3ef63aeb6fe89ccff,1,-1,1
1,1.5,2,6150dae3ef63aeb6fe89ccff,1,1,1
2,-2.5,4,6150dae3ef63aeb6fe89ccff,1,1,-1
3,-2.5,4,6150dae3ef63aeb6fe89ccff,1,-1,1
4,-1.5,1,6150dae3ef63aeb6fe89ccff,1,1,-1
5,2.5,2,6150dae3ef63aeb6fe89ccff,1,-1,1
6,2.5,6,6150dae3ef63aeb6fe89ccff,1,-1,-1
7,-2.5,3,6150dae3ef63aeb6fe89ccff,1,-1,1
8,-1.5,2,6150dae3ef63aeb6fe89ccff,-1,1,1
9,-2.5,4,6150dae3ef63aeb6fe89ccff,1,1,1
10,2.5,1,6150dae3ef63aeb6fe89ccff,-1,1,1
11,-1.5,2,6150dae3ef63aeb6fe89ccff,-1,-1,1
12,2.5,5,6150dae3ef63aeb6fe89ccff,-1,1,-1
13,-0.5,1,6150dae3ef63aeb6fe89ccff,-1,-1,-1
14,-0.5,6,6150dae3ef63aeb6fe89ccff,1,1,-1
15,1.5,5,6150dae3ef63aeb6fe89ccff,1,1,-1
16,2.5,1,6150dae3ef63aeb6fe89ccff,-1,1,-1
17,-2.5,3,6150dae3ef63aeb6fe89ccff,1,1,-1
18,1.5,2,6150dae3ef63aeb6fe89ccff,-1,1,-1
19,-2.5,4,6150dae3ef63aeb6fe89ccff,1,-1,-1
20,0.5,2,6150dae3ef63aeb6fe89ccff,-1,-1,-1
21,1.5,1,6150dae3ef63aeb6fe89ccff,1,-1,-1
22,-2.5,5,6150dae3ef63aeb6fe89ccff,1,-1,1
23,-2.5,3,6150dae3ef63aeb6fe89ccff,1,-1,-1
24,1.5,1,6150dae3ef63aeb6fe89ccff,-1,-1,1
25,1.5,6,6150dae3ef63aeb6fe89ccff,1,-1,-1
26,-1.5,2,6150dae3ef63aeb6fe89ccff,1,1,-1
27,0.5,5,6150dae3ef63aeb6fe89ccff,1,-1,-1
28,-1.5,5,6150dae3ef63aeb6fe89ccff,-1,-1,-1
29,2.5,5,6150dae3ef63aeb6fe89ccff,1,1,1
30,-2.5,3,6150dae3ef63aeb6fe89ccff,1,1,1
31,-2.5,1,6150dae3ef63aeb6fe89ccff,1,1,1
32,-1.5,5,6150dae3ef63aeb6fe89ccff,-1,-1,1
33,-1.5,2,6150dae3ef63aeb6fe89ccff,1,-1,-1
34,1.5,5,6150dae3ef63aeb6fe89ccff,-1,1,1
35,0.5,6,6150dae3ef63aeb6fe89ccff,1,1,-1
36,-2.5,6,6150dae3ef63aeb6fe89ccff,1,-1,1
37,-0.5,6,6150dae3ef63aeb6fe89ccff,1,1,1
38,2.5,6,6150dae3ef63aeb6fe89ccff,1,1,1
39,-0.5,6,6150dae3ef63aeb6fe89ccff,1,-1,1
40,2.5,1,63ea41da5bd5ed0111145ffb,-1,1,-1
41,2.5,2,63ea41da5bd5ed0111145ffb,-1,1,-1
42,-2.5,4,63ea41da5bd5ed0111145ffb,1,-1,-1
43,-2.5,2,63ea41da5bd5ed0111145ffb,-1,-1,1
44,-0.5,2,63ea41da5bd5ed0111145ffb,-1,1,1
45,-2.5,1,63ea41da5bd5ed0111145ffb,1,1,1
46,0.5,6,63ea41da5bd5ed0111145ffb,1,-1,1
47,-0.5,6,63ea41da5bd5ed0111145ffb,1,1,1
48,2.5,1,63ea41da5bd5ed0111145ffb,-1,-1,-1
49,2.5,2,63ea41da5bd5ed0111145ffb,1,1,-1
50,-2.5,5,63ea41da5bd5ed0111145ffb,1,-1,-1
51,2.5,2,63ea41da5bd5ed0111145ffb,-1,-1,-1
52,-2.5,1,63ea41da5bd5ed0111145ffb,1,-1,1
53,1.5,6,63ea41da5bd5ed0111145ffb,1,1,1
54,-2.5,2,63ea41da5bd5ed0111145ffb,1,-1,1
55,-1.5,6,63ea41da5bd5ed0111145ffb,1,-1,1
56,1.5,4,63ea41da5bd5ed0111145ffb,1,-1,1
57,-0.5,4,63ea41da5bd5ed0111145ffb,1,1,1
58,-0.5,5,63ea41da5bd5ed0111145ffb,-1,1,1
59,0.5,6,63ea41da5bd5ed0111145ffb,1,1,-1
60,2.5,2,63ea41da5bd5ed0111145ffb,1,-1,-1
61,-2.5,1,63ea41da5bd5ed0111145ffb,-1,-1,1
62,0.5,3,63ea41da5bd5ed0111145ffb,1,1,-1
63,-1.5,5,63ea41da5bd5ed0111145ffb,-1,1,-1
64,2.5,1,63ea41da5bd5ed0111145ffb,1,1,-1
65,2.5,1,63ea41da5bd5ed0111145ffb,1,-1,-1
66,-1.5,5,63ea41da5bd5ed0111145ffb,1,1,-1
67,-2.5,5,63ea41da5bd5ed0111145ffb,1,-1,1
68,-2.5,4,63ea41da5bd5ed0111145ffb,1,1,-1
69,-1.5,5,63ea41da5bd5ed0111145ffb,-1,-1,-1
70,-1.5,5,63ea41da5bd5ed0111145ffb,1,1,1
71,-2.5,2,63ea41da5bd5ed0111145ffb,1,1,1
72,0.5,6,63ea41da5bd5ed0111145ffb,1,-1,-1
73,-0.5,6,63ea41da5bd5ed0111145ffb,1,1,-1
74,0.5,3,63ea41da5bd5ed0111145ffb,1,-1,-1
75,-1.5,3,63ea41da5bd5ed0111145ffb,1,-1,1
76,-0.5,6,63ea41da5bd5ed0111145ffb,1,-1,-1
77,-1.5,1,63ea41da5bd5ed0111145ffb,-1,1,1
78,-2.5,5,63ea41da5bd5ed0111145ffb,-1,-1,1
79,-2.5,3,63ea41da5bd5ed0111145ffb,1,1,1
80,-1.5,1,60c9c994c019ca2e1836e7d7,1,1,1
81,1.5,2,60c9c994c019ca2e1836e7d7,-1,-1,-1
82,-2.5,3,60c9c994c019ca2e1836e7d7,1,1,-1
83,-1.5,5,60c9c994c019ca2e1836e7d7,1,1,-1
84,1.5,1,60c9c994c019ca2e1836e7d7,-1,-1,-1
85,-1.5,6,60c9c994c019ca2e1836e7d7,1,1,-1
86,-1.5,5,60c9c994c019ca2e1836e7d7,1,-1,1
87,-1.5,5,60c9c994c019ca2e1836e7d7,-1,-1,-1
88,-1.5,1,60c9c994c019ca2e1836e7d7,-1,-1,1
89,-2.5,4,60c9c994c019ca2e1836e7d7,1,-1,-1
90,2.5,1,60c9c994c019ca2e1836e7d7,-1,1,-1
91,-1.5,2,60c9c994c019ca2e1836e7d7,-1,1,1
92,-1.5,2,60c9c994c019ca2e1836e7d7,1,1,1
93,1.5,6,60c9c994c019ca2e1836e7d7,1,-1,1
94,-1.5,5,60c9c994c019ca2e1836e7d7,1,-1,-1
95,1.5,2,60c9c994c019ca2e1836e7d7,1,-1,-1
96,1.5,6,60c9c994c019ca2e1836e7d7,1,1,-1
97,1.5,2,60c9c994c019ca2e1836e7d7,1,1,-1
98,0.5,1,60c9c994c019ca2e1836e7d7,1,-1,-1
99,1.5,6,60c9c994c019ca2e1836e7d7,1,1,1
100,-2.5,4,60c9c994c019ca2e1836e7d7,1,-1,1
101,-0.5,5,60c9c994c019ca2e1836e7d7,-1,1,-1
102,-1.5,6,60c9c994c019ca2e1836e7d7,1,-1,1
103,-1.5,2,60c9c994c019ca2e1836e7d7,-1,-1,1
104,-1.5,3,60c9c994c019ca2e1836e7d7,1,1,1
105,-1.5,6,60c9c994c019ca2e1836e7d7,1,-1,-1
106,-1.5,1,60c9c994c019ca2e1836e7d7,-1,1,1
107,-1.5,4,60c9c994c019ca2e1836e7d7,1,1,1
108,-2.5,3,60c9c994c019ca2e1836e7d7,1,-1,-1
109,1.5,1,60c9c994c019ca2e1836e7d7,1,1,-1
110,-1.5,2,60c9c994c019ca2e1836e7d7,1,-1,1
111,-1.5,1,60c9c994c019ca2e1836e7d7,1,-1,1
112,1.5,2,60c9c994c019ca2e1836e7d7,-1,1,-1
113,1.5,6,60c9c994c019ca2e1836e7d7,1,-1,-1
114,-0.5,5,60c9c994c019ca2e1836e7d7,-1,1,1
115,-0.5,4,60c9c994c019ca2e1836e7d7,1,1,-1
116,-1.5,5,60c9c994c019ca2e1836e7d7,1,1,1
117,-1.5,5,60c9c994c019ca2e1836e7d7,-1,-1,1
118,-0.5,6,60c9c994c019ca2e1836e7d7,1,1,1
119,-2.5,3,60c9c994c019ca2e1836e7d7,1,-1,1
120,0.5,6,5c4b06903566570001309394,1,1,1
121,-0.5,6,5c4b06903566570001309394,1,-1,1
122,0.5,6,5c4b06903566570001309394,1,1,1
123,-1.5,1,5c4b06903566570001309394,-1,-1,1
124,1.5,2,5c4b06903566570001309394,-1,1,-1
125,-1.5,2,5c4b06903566570001309394,1,-1,1
126,-2.5,1,5c4b06903566570001309394,1,-1,1
127,2.5,1,5c4b06903566570001309394,-1,-1,-1
128,0.5,6,5c4b06903566570001309394,1,1,-1
129,0.5,6,5c4b06903566570001309394,1,-1,1
130,-1.5,5,5c4b06903566570001309394,-1,-1,1
131,-1.5,1,5c4b06903566570001309394,1,1,1
132,0.5,6,5c4b06903566570001309394,1,-1,-1
133,-1.5,2,5c4b06903566570001309394,-1,1,1
134,2.5,1,5c4b06903566570001309394,1,1,-1
135,2.5,4,5c4b06903566570001309394,1,-1,-1
136,-1.5,6,5c4b06903566570001309394,1,1,-1
137,-2.5,1,5c4b06903566570001309394,-1,1,1
138,-2.5,4,5c4b06903566570001309394,1,1,-1
139,1.5,5,5c4b06903566570001309394,1,-1,-1
140,-1.5,5,5c4b06903566570001309394,1,1,1
141,1.5,1,5c4b06903566570001309394,1,-1,-1
142,1.5,6,5c4b06903566570001309394,1,-1,-1
143,0.5,2,5c4b06903566570001309394,-1,-1,-1
144,-2.5,3,5c4b06903566570001309394,1,1,1
145,-1.5,5,5c4b06903566570001309394,-1,1,-1
146,-2.5,3,5c4b06903566570001309394,1,-1,1
147,-0.5,5,5c4b06903566570001309394,-1,-1,-1
148,-0.5,2,5c4b06903566570001309394,-1,-1,1
149,-1.5,4,5c4b06903566570001309394,1,1,1
150,-1.5,3,5c4b06903566570001309394,1,-1,-1
151,-1.5,4,5c4b06903566570001309394,1,-1,1
152,1.5,1,5c4b06903566570001309394,-1,1,-1
153,1.5,2,5c4b06903566570001309394,1,-1,-1
154,-0.5,2,5c4b06903566570001309394,1,1,1
155,0.5,5,5c4b06903566570001309394,1,1,-1
156,-0.5,5,5c4b06903566570001309394,1,-1,1
157,-1.5,3,5c4b06903566570001309394,1,1,-1
158,1.5,2,5c4b06903566570001309394,1,1,-1
159,-0.5,5,5c4b06903566570001309394,-1,1,1
160,-2.5,1,611d64af9898c121c4cd1dd4,1,1,1
161,2.5,2,611d64af9898c121c4cd1dd4,-1,-1,-1
162,-1.5,4,611d64af9898c121c4cd1dd4,1,1,-1
163,1.5,6,611d64af9898c121c4cd1dd4,1,1,-1
164,-2.5,3,611d64af9898c121c4cd1dd4,1,-1,1
165,-2.5,1,611d64af9898c121c4cd1dd4,-1,-1,1
166,2.5,1,611d64af9898c121c4cd1dd4,-1,-1,-1
167,2.5,1,611d64af9898c121c4cd1dd4,-1,1,-1
168,-2.5,3,611d64af9898c121c4cd1dd4,1,1,1
169,0.5,6,611d64af9898c121c4cd1dd4,1,1,1
170,-1.5,5,611d64af9898c121c4cd1dd4,-1,1,1
171,-2.5,5,611d64af9898c121c4cd1dd4,-1,-1,1
172,-1.5,5,611d64af9898c121c4cd1dd4,-1,1,-1
173,2.5,2,611d64af9898c121c4cd1dd4,-1,1,-1
174,2.5,2,611d64af9898c121c4cd1dd4,1,-1,-1
175,0.5,6,611d64af9898c121c4cd1dd4,1,-1,1
176,-0.5,6,611d64af9898c121c4cd1dd4,1,1,1
177,-2.5,1,611d64af9898c121c4cd1dd4,-1,1,1
178,0.5,6,611d64af9898c121c4cd1dd4,1,-1,-1
179,2.5,1,611d64af9898c121c4cd1dd4,1,1,-1
180,0.5,6,611d64af9898c121c4cd1dd4,1,-1,1
181,2.5,2,611d64af9898c121c4cd1dd4,1,1,-1
182,-2.5,5,611d64af9898c121c4cd1dd4,1,-1,-1
183,2.5,1,611d64af9898c121c4cd1dd4,1,-1,-1
184,1.5,6,611d64af9898c121c4cd1dd4,1,1,-1
185,-2.5,2,611d64af9898c121c4cd1dd4,1,-1,1
186,-2.5,2,611d64af9898c121c4cd1dd4,-1,-1,1
187,-2.5,1,611d64af9898c121c4cd1dd4,1,-1,1
188,-2.5,4,611d64af9898c121c4cd1dd4,1,-1,1
189,-2.5,2,611d64af9898c121c4cd1dd4,-1,1,1
190,-2.5,2,611d64af9898c121c4cd1dd4,1,1,1
191,-1.5,5,611d64af9898c121c4cd1dd4,1,-1,1
192,-2.5,5,611d64af9898c121c4cd1dd4,-1,-1,-1
193,-1.5,4,611d64af9898c121c4cd1dd4,1,-1,-1
194,-0.5,5,611d64af9898c121c4cd1dd4,1,1,-1
195,0.5,6,611d64af9898c121c4cd1dd4,1,-1,-1
196,-1.5,4,611d64af9898c121c4cd1dd4,1,1,1
197,-2.5,3,611d64af9898c121c4cd1dd4,1,-1,-1
198,0.5,3,611d64af9898c121c4cd1dd4,1,1,-1
199,-1.5,5,611d64af9898c121c4cd1dd4,1,1,1
200,1.5,1,615af3dba5d55e14ea6bdeda,-1,1,-1
201,-0.5,2,615af3dba5d55e14ea6bdeda,1,1,1
202,-1.5,2,615af3dba5d55e14ea6bdeda,-1,1,1
203,-0.5,6,615af3dba5d55e14ea6bdeda,1,1,1
204,-0.5,6,615af3dba5d55e14ea6bdeda,1,-1,1
205,-1.5,1,615af3dba5d55e14ea6bdeda,1,-1,1
206,-2.5,4,615af3dba5d55e14ea6bdeda,1,1,-1
207,0.5,6,615af3dba5d55e14ea6bdeda,1,1,-1
208,-0.5,6,615af3dba5d55e14ea6bdeda,1,-1,1
209,1.5,2,615af3dba5d55e14ea6bdeda,-1,-1,-1
210,-1.5,5,615af3dba5d55e14ea6bdeda,1,1,-1
211,-0.5,6,615af3dba5d55e14ea6bdeda,1,-1,-1
212,0.5,6,615af3dba5d55e14ea6bdeda,1,-1,-1
213,-0.5,1,615af3dba5d55e14ea6bdeda,-1,1,1
214,1.5,1,615af3dba5d55e14ea6bdeda,1,1,-1
215,0.5,2,615af3dba5d55e14ea6bdeda,1,-1,-1
216,-2.5,4,615af3dba5d55e14ea6bdeda,1,-1,-1
217,-1.5,2,615af3dba5d55e14ea6bdeda,-1,-1,1
218,-1.5,3,615af3dba5d55e14ea6bdeda,1,-1,-1
219,-0.5,6,615af3dba5d55e14ea6bdeda,1,1,1
220,-1.5,2,615af3dba5d55e14ea6bdeda,1,-1,1
221,0.5,6,615af3dba5d55e14ea6bdeda,1,1,-1
222,-0.5,5,615af3dba5d55e14ea6bdeda,-1,-1,-1
223,-1.5,5,615af3dba5d55e14ea6bdeda,1,-1,-1
224,-0.5,1,615af3dba5d55e14ea6bdeda,1,1,1
225,-0.5,1,615af3dba5d55e14ea6bdeda,-1,-1,1
226,1.5,1,615af3dba5d55e14ea6bdeda,-1,-1,-1
227,0.5,1,615af3dba5d55e14ea6bdeda,1,-1,-1
228,-2.5,4,615af3dba5d55e14ea6bdeda,1,1,1
229,-1.5,4,615af3dba5d55e14ea6bdeda,1,-1,1
230,-0.5,5,615af3dba5d55e14ea6bdeda,1,-1,1
231,-0.5,5,615af3dba5d55e14ea6bdeda,-1,1,1
232,-1.5,5,615af3dba5d55e14ea6bdeda,-1,1,-1
233,-0.5,3,615af3dba5d55e14ea6bdeda,1,-1,1
234,-0.5,5,615af3dba5d55e14ea6bdeda,1,1,1
235,-1.5,3,615af3dba5d55e14ea6bdeda,1,1,1
236,0.5,3,615af3dba5d55e14ea6bdeda,1,1,-1
237,1.5,2,615af3dba5d55e14ea6bdeda,1,1,-1
238,0.5,2,615af3dba5d55e14ea6bdeda,-1,1,-1
239,-1.5,5,615af3dba5d55e14ea6bdeda,-1,-1,1
240,-0.5,5,615fdd9674ec001e9d325841,-1,1,-1
241,1.5,5,615fdd9674ec001e9d325841,-1,1,1
242,-1.5,1,615fdd9674ec001e9d325841,1,1,1
243,0.5,2,615fdd9674ec001e9d325841,-1,1,-1
244,-1.5,4,615fdd9674ec001e9d325841,1,-1,1
245,-2.5,3,615fdd9674ec001e9d325841,1,-1,-1
246,0.5,1,615fdd9674ec001e9d325841,-1,-1,-1
247,0.5,2,615fdd9674ec001e9d325841,1,-1,-1
248,-2.5,3,615fdd9674ec001e9d325841,1,-1,1
249,-0.5,6,615fdd9674ec001e9d325841,1,1,1
250,0.5,6,615fdd9674ec001e9d325841,1,-1,1
251,-1.5,1,615fdd9674ec001e9d325841,1,-1,1
252,-1.5,5,615fdd9674ec001e9d325841,1,-1,-1
253,-1.5,2,615fdd9674ec001e9d325841,-1,1,1
254,-1.5,5,615fdd9674ec001e9d325841,-1,-1,-1
255,-1.5,2,615fdd9674ec001e9d325841,-1,-1,1
256,-0.5,6,615fdd9674ec001e9d325841,1,-1,-1
257,-1.5,5,615fdd9674ec001e9d325841,1,-1,1
258,-1.5,5,615fdd9674ec001e9d325841,1,1,-1
259,1.5,1,615fdd9674ec001e9d325841,1,-1,-1
260,-1.5,2,615fdd9674ec001e9d325841,1,1,1
261,-1.5,2,615fdd9674ec001e9d325841,1,-1,1
262,-1.5,4,615fdd9674ec001e9d325841,1,1,1
263,-2.5,4,615fdd9674ec001e9d325841,1,-1,-1
264,1.5,2,615fdd9674ec001e9d325841,1,1,-1
265,-1.5,1,615fdd9674ec001e9d325841,-1,-1,1
266,0.5,6,615fdd9674ec001e9d325841,1,1,-1
267,-0.5,6,615fdd9674ec001e9d325841,1,1,1
268,-1.5,5,615fdd9674ec001e9d325841,-1,-1,1
269,0.5,6,615fdd9674ec001e9d325841,1,-1,1
270,-1.5,5,615fdd9674ec001e9d325841,1,1,1
271,-0.5,6,615fdd9674ec001e9d325841,1,1,-1
272,-0.5,3,615fdd9674ec001e9d325841,1,1,1
273,0.5,1,615fdd9674ec001e9d325841,1,1,-1
274,-0.5,6,615fdd9674ec001e9d325841,1,-1,-1
275,-1.5,1,615fdd9674ec001e9d325841,-1,1,1
276,1.5,1,615fdd9674ec001e9d325841,-1,1,-1
277,1.5,2,615fdd9674ec001e9d325841,-1,-1,-1
278,-2.5,3,615fdd9674ec001e9d325841,1,1,-1
279,-2.5,4,615fdd9674ec001e9d325841,1,1,-1
280,1.5,1,60db077a92532d1c05a7b440,-1,1,-1
281,-1.5,1,60db077a92532d1c05a7b440,1,1,1
282,-2.5,4,60db077a92532d1c05a7b440,1,1,1
283,0.5,6,60db077a92532d1c05a7b440,1,-1,1
284,-2.5,4,60db077a92532d1c05a7b440,1,1,-1
285,-2.5,3,60db077a92532d1c05a7b440,1,1,1
286,-2.5,5,60db077a92532d1c05a7b440,1,-1,-1
287,2.5,5,60db077a92532d1c05a7b440,-1,1,1
288,2.5,5,60db077a92532d1c05a7b440,-1,1,-1
289,1.5,1,60db077a92532d1c05a7b440,-1,1,1
290,0.5,6,60db077a92532d1c05a7b440,1,-1,1
291,-1.5,3,60db077a92532d1c05a7b440,1,-1,-1
292,2.5,2,60db077a92532d1c05a7b440,-1,-1,-1
293,-2.5,4,60db077a92532d1c05a7b440,1,-1,1
294,-0.5,1,60db077a92532d1c05a7b440,-1,-1,1
295,-1.5,2,60db077a92532d1c05a7b440,1,-1,1
296,-2.5,1,60db077a92532d1c05a7b440,1,-1,1
297,-2.5,6,60db077a92532d1c05a7b440,1,-1,-1
298,-1.5,5,60db077a92532d1c05a7b440,-1,-1,1
299,1.5,1,60db077a92532d1c05a7b440,1,-1,-1
300,-2.5,4,60db077a92532d1c05a7b440,1,-1,-1
301,-1.5,2,60db077a92532d1c05a7b440,-1,1,1
302,0.5,5,60db077a92532d1c05a7b440,1,1,1
303,1.5,6,60db077a92532d1c05a7b440,1,1,1
304,-1.5,2,60db077a92532d1c05a7b440,1,1,1
305,-2.5,3,60db077a92532d1c05a7b440,1,-1,1
306,-1.5,6,60db077a92532d1c05a7b440,1,1,-1
307,-2.5,3,60db077a92532d1c05a7b440,1,1,-1
308,0.5,5,60db077a92532d1c05a7b440,-1,-1,-1
309,0.5,2,60db077a92532d1c05a7b440,1,1,-1
310,-0.5,5,60db077a92532d1c05a7b440,1,1,-1
311,-1.5,5,60db077a92532d1c05a7b440,1,-1,1
312,1.5,2,60db077a92532d1c05a7b440,1,-1,-1
313,1.5,1,60db077a92532d1c05a7b440,-1,-1,-1
314,1.5,2,60db077a92532d1c05a7b440,-1,1,-1
315,1.5,6,60db077a92532d1c05a7b440,1,-1,-1
316,-0.5,2,60db077a92532d1c05a7b440,-1,-1,1
317,-0.5,6,60db077a92532d1c05a7b440,1,1,-1
318,0.5,6,60db077a92532d1c05a7b440,1,1,1
319,2.5,1,60db077a92532d1c05a7b440,1,1,-1
320,-1.5,2,6117639eac1099a15f73d759,-1,1,1
321,-2.5,4,6117639eac1099a15f73d759,1,1,-1
322,-2.5,4,6117639eac1099a15f73d759,1,-1,1
323,2.5,1,6117639eac1099a15f73d759,1,-1,-1
324,-2.5,1,6117639eac1099a15f73d759,-1,-1,1
325,-2.5,2,6117639eac1099a15f73d759,1,-1,1
326,1.5,2,6117639eac1099a15f73d759,-1,1,-1
327,0.5,3,6117639eac1099a15f73d759,1,1,-1
328,-2.5,2,6117639eac1099a15f73d759,-1,-1,1
329,-0.5,3,6117639eac1099a15f73d759,1,-1,-1
330,-1.5,3,6117639eac1099a15f73d759,1,1,1
331,0.5,6,6117639eac1099a15f73d759,1,-1,1
332,-1.5,4,6117639eac1099a15f73d759,1,-1,-1
333,0.5,6,6117639eac1099a15f73d759,1,-1,-1
334,0.5,5,6117639eac1099a15f73d759,-1,-1,1
335,-0.5,6,6117639eac1099a15f73d759,1,-1,-1
336,-0.5,6,6117639eac1099a15f73d759,1,1,-1
337,2.5,1,6117639eac1099a15f73d759,-1,1,-1
338,-0.5,1,6117639eac1099a15f73d759,-1,1,1
339,-2.5,5,6117639eac1099a15f73d759,1,1,1
340,-1.5,5,6117639eac1099a15f73d759,1,-1,-1
341,2.5,2,6117639eac1099a15f73d759,1,1,-1
342,1.5,2,6117639eac1099a15f73d759,-1,-1,-1
343,-1.5,3,6117639eac1099a15f73d759,1,-1,1
344,-2.5,5,6117639eac1099a15f73d759,-1,1,-1
345,-2.5,1,6117639eac1099a15f73d759,1,-1,1
346,-0.5,6,6117639eac1099a15f73d759,1,1,1
347,0.5,6,6117639eac1099a15f73d759,1,1,1
348,-2.5,4,6117639eac1099a15f73d759,1,1,1
349,0.5,6,6117639eac1099a15f73d759,1,-1,1
350,1.5,5,6117639eac1099a15f73d759,-1,1,1
351,1.5,1,6117639eac1099a15f73d759,1,1,-1
352,1.5,2,6117639eac1099a15f73d759,1,-1,-1
353,-1.5,5,6117639eac1099a15f73d759,-1,-1,-1
354,-1.5,2,6117639eac1099a15f73d759,1,1,1
355,-0.5,5,6117639eac1099a15f73d759,1,1,-1
356,0.5,5,6117639eac1099a15f73d759,1,-1,1
357,-1.5,1,6117639eac1099a15f73d759,1,1,1
358,-0.5,6,6117639eac1099a15f73d759,1,1,-1
359,1.5,1,6117639eac1099a15f73d759,-1,-1,-1
360,-2.5,5,5e8dbc03461391042ebdf67c,1,-1,1
361,-2.5,3,5e8dbc03461391042ebdf67c,1,-1,1
362,2.5,6,5e8dbc03461391042ebdf67c,1,-1,-1
363,-2.5,4,5e8dbc03461391042ebdf67c,1,-1,1
364,-2.5,4,5e8dbc03461391042ebdf67c,1,-1,-1
365,2.5,1,5e8dbc03461391042ebdf67c,1,-1,-1
366,2.5,5,5e8dbc03461391042ebdf67c,1,1,1
367,2.5,5,5e8dbc03461391042ebdf67c,1,1,-1
368,-2.5,3,5e8dbc03461391042ebdf67c,1,1,1
369,2.5,6,5e8dbc03461391042ebdf67c,1,-1,1
370,-2.5,1,5e8dbc03461391042ebdf67c,1,-1,1
371,2.5,5,5e8dbc03461391042ebdf67c,1,-1,-1
372,-2.5,1,5e8dbc03461391042ebdf67c,-1,1,1
373,-2.5,2,5e8dbc03461391042ebdf67c,1,-1,1
374,2.5,2,5e8dbc03461391042ebdf67c,1,1,-1
375,-2.5,2,5e8dbc03461391042ebdf67c,-1,1,1
376,1.5,6,5e8dbc03461391042ebdf67c,1,1,1
377,-2.5,5,5e8dbc03461391042ebdf67c,-1,-1,-1
378,2.5,6,5e8dbc03461391042ebdf67c,1,1,1
379,2.5,1,5e8dbc03461391042ebdf67c,-1,-1,-1
380,-2.5,5,5e8dbc03461391042ebdf67c,-1,1,1
381,-2.5,1,5e8dbc03461391042ebdf67c,-1,-1,1
382,-2.5,3,5e8dbc03461391042ebdf67c,1,1,-1
383,-2.5,2,5e8dbc03461391042ebdf67c,1,1,1
384,1.5,6,5e8dbc03461391042ebdf67c,1,1,-1
385,1.5,2,5e8dbc03461391042ebdf67c,1,-1,-1
386,-2.5,1,5e8dbc03461391042ebdf67c,1,1,1
387,2.5,2,5e8dbc03461391042ebdf67c,-1,-1,-1
388,-2.5,3,5e8dbc03461391042ebdf67c,1,-1,-1
389,2.5,1,5e8dbc03461391042ebdf67c,1,1,-1
390,-2.5,2,5e8dbc03461391042ebdf67c,-1,-1,1
391,2.5,6,5e8dbc03461391042ebdf67c,1,-1,-1
392,2.5,2,5e8dbc03461391042ebdf67c,-1,1,-1
393,-2.5,5,5e8dbc03461391042ebdf67c,-1,1,-1
394,2.5,1,5e8dbc03461391042ebdf67c,-1,1,-1
395,-2.5,5,5e8dbc03461391042ebdf67c,-1,-1,1
396,2.5,6,5e8dbc03461391042ebdf67c,1,1,-1
397,-2.5,6,5e8dbc03461391042ebdf67c,1,-1,1
398,-2.5,4,5e8dbc03461391042ebdf67c,1,1,1
399,-2.5,4,5e8dbc03461391042ebdf67c,1,1,-1
400,2.5,1,611cf957c6a72bb4143ecd4a,1,-1,-1
401,-2.5,1,611cf957c6a72bb4143ecd4a,1,1,1
402,0.5,6,611cf957c6a72bb4143ecd4a,1,1,-1
403,1.5,6,611cf957c6a72bb4143ecd4a,1,-1,1
404,-0.5,6,611cf957c6a72bb4143ecd4a,1,1,-1
405,-0.5,6,611cf957c6a72bb4143ecd4a,1,1,1
406,2.5,5,611cf957c6a72bb4143ecd4a,1,1,-1
407,1.5,6,611cf957c6a72bb4143ecd4a,1,-1,1
408,2.5,2,611cf957c6a72bb4143ecd4a,-1,-1,-1
409,0.5,6,611cf957c6a72bb4143ecd4a,1,1,1
410,-2.5,4,611cf957c6a72bb4143ecd4a,1,1,1
411,-2.5,2,611cf957c6a72bb4143ecd4a,-1,1,1
412,2.5,3,611cf957c6a72bb4143ecd4a,1,1,-1
413,-0.5,5,611cf957c6a72bb4143ecd4a,1,1,1
414,-1.5,3,611cf957c6a72bb4143ecd4a,1,1,1
415,-1.5,5,611cf957c6a72bb4143ecd4a,-1,-1,1
416,0.5,6,611cf957c6a72bb4143ecd4a,1,-1,-1
417,-2.5,2,611cf957c6a72bb4143ecd4a,1,-1,1
418,-2.5,1,611cf957c6a72bb4143ecd4a,-1,1,1
419,1.5,6,611cf957c6a72bb4143ecd4a,1,-1,-1
420,1.5,2,611cf957c6a72bb4143ecd4a,-1,1,-1
421,-0.5,3,611cf957c6a72bb4143ecd4a,1,-1,-1
422,-2.5,2,611cf957c6a72bb4143ecd4a,-1,-1,1
423,-2.5,5,611cf957c6a72bb4143ecd4a,1,-1,-1
424,-2.5,5,611cf957c6a72bb4143ecd4a,-1,-1,-1
425,2.5,2,611cf957c6a72bb4143ecd4a,1,-1,-1
426,2.5,4,611cf957c6a72bb4143ecd4a,1,1,-1
427,-2.5,5,611cf957c6a72bb4143ecd4a,-1,1,-1
428,-2.5,5,611cf957c6a72bb4143ecd4a,-1,1,1
429,2.5,1,611cf957c6a72bb4143ecd4a,1,1,-1
430,-2.5,3,611cf957c6a72bb4143ecd4a,1,-1,1
431,1.5,1,611cf957c6a72bb4143ecd4a,-1,1,-1
